metric,sn,scan_id,scan_processed_date,mean,median,min,max
Core Area (mm²),LLAQ33T068462,1767,1/24/2024 18:22,13.366,13.36871,13.30246,13.45808
Anode Overhang (All) (mm),LLAQ33T068462,1767,1/24/2024 18:22,0.726,0.7344,0.576,0.8784
Anode Overhang (Top) (mm),LLAQ33T068462,1767,1/24/2024 18:22,0.786,0.78938,0.648,0.86412
Anode Overhang (Bottom) (mm),LLAQ33T068462,1767,1/24/2024 18:22,0.665,0.6663,0.576,0.8784
Cathode Width (mm),LLAQ33T068462,1767,1/24/2024 18:22,57.906,57.90244,57.744,58.0179
Core Area (mm²),KLAQ23T048098,1768,1/24/2024 18:32,13.199,13.20106,13.1516,13.26098
Anode Overhang (All) (mm),KLAQ23T048098,1768,1/24/2024 18:32,0.711,0.70619,0.5616,0.85009
Anode Overhang (Top) (mm),KLAQ23T048098,1768,1/24/2024 18:32,0.725,0.72014,0.58741,0.85009
Anode Overhang (Bottom) (mm),KLAQ23T048098,1768,1/24/2024 18:32,0.697,0.7056,0.5616,0.77973
Cathode Width (mm),KLAQ23T048098,1768,1/24/2024 18:32,57.866,57.8592,57.71522,57.97443
Core Area (mm²),LLAQ33T068517,1769,1/24/2024 18:41,13.12,13.11459,13.05248,13.26368
Anode Overhang (All) (mm),LLAQ33T068517,1769,1/24/2024 18:41,0.727,0.72058,0.53976,0.89326
Anode Overhang (Top) (mm),LLAQ33T068517,1769,1/24/2024 18:41,0.812,0.80653,0.64816,0.89326
Anode Overhang (Bottom) (mm),LLAQ33T068517,1769,1/24/2024 18:41,0.642,0.64864,0.53976,0.82131
Cathode Width (mm),LLAQ33T068517,1769,1/24/2024 18:41,57.9,57.90244,57.7584,58.0179
Anode Overhang (All) (mm),LLAQ33T078749,1770,1/24/2024 18:51,0.735,0.73475,0.576,0.89326
Anode Overhang (Top) (mm),LLAQ33T078749,1770,1/24/2024 18:51,0.688,0.67818,0.576,0.82131
Anode Overhang (Bottom) (mm),LLAQ33T078749,1770,1/24/2024 18:51,0.779,0.77973,0.63376,0.89326
Cathode Width (mm),LLAQ33T078749,1770,1/24/2024 18:51,57.908,57.91702,57.7584,58.01782
Core Area (mm²),LLAQ33T078749,1770,1/24/2024 18:51,13.147,13.12278,13.07788,13.31085
Core Area (mm²),LLAQ33T068534,1771,1/24/2024 19:00,12.996,12.98851,12.95005,13.09416
Anode Overhang (All) (mm),LLAQ33T068534,1771,1/24/2024 19:00,0.728,0.7223,0.5904,0.85009
Anode Overhang (Top) (mm),LLAQ33T068534,1771,1/24/2024 19:00,0.754,0.73454,0.648,0.85009
Anode Overhang (Bottom) (mm),LLAQ33T068534,1771,1/24/2024 19:00,0.702,0.72014,0.5904,0.83532
Cathode Width (mm),LLAQ33T068534,1771,1/24/2024 19:00,57.892,57.88802,57.74404,58.01774
Core Area (mm²),LLAQ21T000980,1772,1/24/2024 19:09,12.778,12.78654,12.62501,12.9009
Anode Overhang (All) (mm),LLAQ21T000980,1772,1/24/2024 19:09,0.738,0.73567,0.67496,0.7967
Anode Overhang (Top) (mm),LLAQ21T000980,1772,1/24/2024 19:09,0.737,0.73666,0.67496,0.79252
Anode Overhang (Bottom) (mm),LLAQ21T000980,1772,1/24/2024 19:09,0.739,0.73496,0.67695,0.7967
Cathode Width (mm),LLAQ21T000980,1772,1/24/2024 19:09,57.886,57.88804,57.672,58.00322
Core Area (mm²),KLAQ31T069139,1773,1/24/2024 19:19,13.119,13.11894,13.07954,13.15855
Anode Overhang (All) (mm),KLAQ31T069139,1773,1/24/2024 19:19,0.719,0.67614,0.4896,0.96491
Anode Overhang (Top) (mm),KLAQ31T069139,1773,1/24/2024 19:19,0.85,0.8496,0.59738,0.96491
Anode Overhang (Bottom) (mm),KLAQ31T069139,1773,1/24/2024 19:19,0.588,0.6048,0.4896,0.68427
Cathode Width (mm),KLAQ31T069139,1773,1/24/2024 19:19,57.908,57.9168,57.7584,58.01764
Core Area (mm²),KLAQ34T029055,1774,1/24/2024 19:28,13.23,13.21536,13.14776,13.38084
