metric,sn,scan_id,scan_processed_date,mean,median,min,max
Core Area (mm²),LH1T-1,2280,2/1/2024 17:17,12.222,12.22087,12.18591,12.27439
Anode Overhang (All) (mm),LH1T-1,2280,2/1/2024 17:17,0.551,0.55784,0.28072,0.82066
Cathode Width (mm),LH1T-1,2280,2/1/2024 17:17,64.008,64.0256,63.82885,64.12405
Core Area (mm²),LH1T-2,2281,2/1/2024 17:31,12.379,12.38117,12.33908,12.41587
Anode Overhang (All) (mm),LH1T-2,2281,2/1/2024 17:31,0.54,0.54219,0.3444,0.73873
Cathode Width (mm),LH1T-2,2281,2/1/2024 17:31,64.034,64.0584,63.86162,64.14053
Core Area (mm²),LH1T-3,2282,2/1/2024 17:41,12.327,12.32711,12.26471,12.37297
Anode Overhang (All) (mm),LH1T-3,2282,2/1/2024 17:41,0.573,0.57494,0.4264,0.72235
Cathode Width (mm),LH1T-3,2282,2/1/2024 17:41,64.038,64.05842,63.86162,64.15685
Core Area (mm²),LH1T-4,2283,2/1/2024 17:50,12.247,12.24723,12.11719,12.4125
Anode Overhang (All) (mm),LH1T-4,2283,2/1/2024 17:50,0.567,0.57423,0.4756,0.65784
Cathode Width (mm),LH1T-4,2283,2/1/2024 17:50,64.025,64.04201,63.878,64.15705
Core Area (mm²),LH1T-5,2284,2/1/2024 17:59,12.271,12.2709,12.20339,12.35414
Anode Overhang (All) (mm),LH1T-5,2284,2/1/2024 17:59,0.562,0.55784,0.3936,0.72235
Cathode Width (mm),LH1T-5,2284,2/1/2024 17:59,64.036,64.05842,63.87802,64.15693
Anode Overhang (All) (mm),LH1T-6,2285,2/1/2024 18:09,0.555,0.5576,0.4756,0.64483
Cathode Width (mm),LH1T-6,2285,2/1/2024 18:09,64.025,64.04202,63.8616,64.14053
Core Area (mm²),LH1T-6,2285,2/1/2024 18:09,12.287,12.30411,12.16829,12.41197
Core Area (mm²),LH1T-7,2286,2/1/2024 18:18,12.318,12.32523,12.23539,12.37176
Anode Overhang (All) (mm),LH1T-7,2286,2/1/2024 18:18,0.561,0.55784,0.40801,0.70995
Cathode Width (mm),LH1T-7,2286,2/1/2024 18:18,64.041,64.05842,63.8616,64.15688
Core Area (mm²),LH1T-8,2287,2/1/2024 18:27,12.32,12.32563,12.23176,12.38507
