Quarter,Region A,Region B,Region C,Region D,Region E,Region F,,
1,924,1412,1056,539,397,431,,
2,928,1280,1048,558,391,470,,
3,956,1129,1129,591,414,439,,
4,1222,1181,1073,556,407,431,,
5,748,1149,1157,540,415,471,,
6,962,1248,1146,590,442,496,,
7,983,1103,1064,606,384,506,,
8,1024,1021,1213,643,448,573,,
9,991,1085,1088,657,441,403,,
10,978,1125,1322,602,366,440,,
11,1040,910,1256,593,470,371,,
12,1295,999,1132,640,426,405,,
13,765,883,1132,691,445,466,,
14,1008,851,1353,723,455,536,,
15,1038,997,1466,701,363,551,,
16,952,878,1196,802,462,670,,
17,1041,939,1330,749,420,588,,
18,1020,834,1003,762,454,699,,
19,976,688,1197,807,447,743,,
20,1148,806,1337,781,359,702,,
