Stage,Units,Sample,Resistance,mR
Additional resistance,mega ohms,1,5045,
Additional resistance,mega ohms,2,4350,695
Additional resistance,mega ohms,3,4350,0
Additional resistance,mega ohms,4,3975,375
Additional resistance,mega ohms,5,4290,315
Additional resistance,mega ohms,6,4430,140
Additional resistance,mega ohms,7,4485,55
Additional resistance,mega ohms,8,4285,200
Additional resistance,mega ohms,9,3980,305
Additional resistance,mega ohms,10,3925,55
Additional resistance,mega ohms,11,3645,280
Additional resistance,mega ohms,12,3760,115
Additional resistance,mega ohms,13,3300,460
Additional resistance,mega ohms,14,3685,385
Additional resistance,mega ohms,15,3463,222
Additional resistance,mega ohms,16,5200,1737
